serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,12288,3713464,81064,0
C,18,18,0,binomial,12352,3732739,81489,0
C,18,18,0,binomial,12416,3751462,81939,0
C,18,18,0,binomial,12480,3769748,82381,0
C,18,18,0,binomial,12544,3789793,82835,0
C,18,18,0,binomial,12608,3810249,83306,0
C,18,18,0,binomial,12672,3828840,83769,0
C,18,18,0,binomial,12736,3846381,84211,0
C,18,18,0,binomial,12800,3866184,84657,0
C,18,18,0,binomial,12864,3884715,85105,0
C,18,18,0,binomial,12928,3902088,85550,0
C,18,18,0,binomial,12992,3920974,86036,0
C,18,18,0,binomial,13056,3942937,86502,0
C,18,18,0,binomial,13120,3961971,86989,0
C,18,18,0,binomial,13184,3980847,87434,0
C,18,18,0,binomial,13248,3996384,87843,0
C,18,18,0,binomial,13312,4011392,88230,0
C,18,18,0,binomial,13376,4027732,88599,0
C,18,18,0,binomial,13440,4043424,88973,0
C,18,18,0,binomial,13504,4058006,89306,0
C,18,18,0,binomial,13568,4075258,89686,0
C,18,18,0,binomial,13632,4092102,90087,0
C,18,18,0,binomial,13696,4106197,90453,0
C,18,18,0,binomial,13760,4119482,90792,0
C,18,18,0,binomial,13824,4137192,91207,0
C,18,18,0,binomial,13888,4154365,91582,0
C,18,18,0,binomial,13952,4171277,91987,0
C,18,18,0,binomial,14016,4190304,92407,0
C,18,18,0,binomial,14080,4209084,92810,0
C,18,18,0,binomial,14144,4224865,93146,0
C,18,18,0,binomial,14208,4240811,93497,0
C,18,18,0,binomial,14272,4257962,93893,0
C,18,18,0,binomial,14336,4278487,94340,0
C,18,18,0,binomial,14400,4296266,94758,0
C,18,18,0,binomial,14464,4312287,95150,0
C,18,18,0,binomial,14528,4328939,95570,0
C,18,18,0,binomial,14592,4347825,95982,0
C,18,18,0,binomial,14656,4365765,96393,0
C,18,18,0,binomial,14720,4382731,96787,0
C,18,18,0,binomial,14784,4398072,97171,0
C,18,18,0,binomial,14848,4414552,97576,0
C,18,18,0,binomial,14912,4433423,97974,0
C,18,18,0,binomial,14976,4452507,98424,0
C,18,18,0,binomial,15040,4472060,98836,0
C,18,18,0,binomial,15104,4489373,99264,0
C,18,18,0,binomial,15168,4508564,99710,0
C,18,18,0,binomial,15232,4526433,100115,0
C,18,18,0,binomial,15296,4544706,100490,0
C,18,18,0,binomial,15360,4561469,100875,0
C,18,18,0,binomial,15424,4577612,101287,0
C,18,18,0,binomial,15488,4594929,101662,0
C,18,18,0,binomial,15552,4613037,102074,0
C,18,18,0,binomial,15616,4632176,102484,0
C,18,18,0,binomial,15680,4648979,102877,0
C,18,18,0,binomial,15744,4676463,103299,0
C,18,18,0,binomial,15808,4693993,103718,0
C,18,18,0,binomial,15872,4712119,104097,0
C,18,18,0,binomial,15936,4730546,104518,0
C,18,18,0,binomial,16000,4748601,104949,0
C,18,18,0,binomial,16064,4764211,105351,0
C,18,18,0,binomial,16128,4778472,105685,0
C,18,18,0,binomial,16192,4796685,106033,0
C,18,18,0,binomial,16256,4813852,106435,0
C,18,18,0,binomial,16320,4829620,106814,0
C,18,18,0,binomial,16384,4846292,107168,0
C,18,18,0,binomial,16448,4862281,107547,0
C,18,18,0,binomial,16512,4879572,107918,0
C,18,18,0,binomial,16576,4895450,108281,0
C,18,18,0,binomial,16640,4912965,108688,0
C,18,18,0,binomial,16704,4931150,109122,0
C,18,18,0,binomial,16768,4950451,109503,0
C,18,18,0,binomial,16832,4967462,109902,0
C,18,18,0,binomial,16896,4985795,110300,0
C,18,18,0,binomial,16960,5004945,110707,0
C,18,18,0,binomial,17024,5020304,111064,0
C,18,18,0,binomial,17088,5036433,111417,0
C,18,18,0,binomial,17152,5051854,111775,0
C,18,18,0,binomial,17216,5068306,112102,0
C,18,18,0,binomial,17280,5085370,112471,0
C,18,18,0,binomial,17344,5103837,112860,0
C,18,18,0,binomial,17408,5119104,113236,0
C,18,18,0,binomial,17472,5136741,113632,0
C,18,18,0,binomial,17536,5153683,114054,0
C,18,18,0,binomial,17600,5169665,114419,0
C,18,18,0,binomial,17664,5185244,114782,0
C,18,18,0,binomial,17728,5204132,115159,0
C,18,18,0,binomial,17792,5221893,115560,0
C,18,18,0,binomial,17856,5239646,115981,0
C,18,18,0,binomial,17920,5258237,116386,0
C,18,18,0,binomial,17984,5275600,116751,0
C,18,18,0,binomial,18048,5296387,117147,0
C,18,18,0,binomial,18112,5314220,117546,0
C,18,18,0,binomial,18176,5329216,117914,0
C,18,18,0,binomial,18240,5347941,118307,0
C,18,18,0,binomial,18304,5366977,118700,0
C,18,18,0,binomial,18368,5383851,119098,0
C,18,18,0,binomial,18432,5405428,119571,0
C,18,18,0,binomial,18496,5424323,120012,0
C,18,18,0,binomial,18560,5441252,120407,0
C,18,18,0,binomial,18624,5457618,120792,0
C,18,18,0,binomial,18688,5477201,121196,0
C,18,18,0,binomial,18752,5496849,121614,0
C,18,18,0,binomial,18816,5513757,121986,0
C,18,18,0,binomial,18880,5529970,122380,0
