serie,i,j,rep,cola_ref,peso_ref,cola,peso,diferencia,ok
C,18,22,2,binomial,9869.20660729,fibonacci,9869.20660729,0,1
C,18,22,3,fibonacci,9839.78391,binomial,9839.78391,0,1
C,18,22,4,binomial,9824.51945681,fibonacci,9824.51945681,0,1
C,18,22,5,fibonacci,9839.07925294,binomial,9839.07925294,0,1
C,18,22,6,binomial,9854.74221563,fibonacci,9854.74221563,0,1
C,18,22,7,fibonacci,9832.90544571,binomial,9832.90544571,0,1
C,18,22,8,binomial,9848.08925046,fibonacci,9848.08925046,0,1
C,18,22,9,fibonacci,9831.89035127,binomial,9831.89035127,0,1
D,14,22,0,binomial,37.9509531467,fibonacci,37.9509531467,0,1
D,14,22,1,fibonacci,38.776526825,binomial,38.776526825,0,1
D,14,22,2,binomial,37.952473162,fibonacci,37.952473162,0,1
D,14,22,3,fibonacci,38.5217413262,binomial,38.5217413262,0,1
D,14,22,4,binomial,38.2291742042,fibonacci,38.2291742042,0,1
D,14,22,5,fibonacci,38.7416820643,binomial,38.7416820643,0,1
D,14,22,6,binomial,37.9987561374,fibonacci,37.9987561374,0,1
D,14,22,7,fibonacci,38.8141836151,binomial,38.8141836151,0,1
D,14,22,8,binomial,38.5975611995,fibonacci,38.5975611995,0,1
D,14,22,9,fibonacci,38.1807166601,binomial,38.1807166601,0,1
D,15,22,0,binomial,153.121418545,fibonacci,153.121418545,0,1
D,15,22,1,fibonacci,153.414323778,binomial,153.414323778,0,1
D,15,22,2,binomial,151.949204863,fibonacci,151.949204863,0,1
D,15,22,3,fibonacci,152.879135825,binomial,152.879135825,0,1
D,15,22,4,binomial,154.025158343,fibonacci,154.025158343,0,1
D,15,22,5,fibonacci,154.33204294,binomial,154.33204294,0,1
D,15,22,6,binomial,152.590035182,fibonacci,152.590035182,0,1
D,15,22,7,fibonacci,154.936111382,binomial,154.936111382,0,1
D,15,22,8,binomial,153.98374261,fibonacci,153.98374261,0,1
D,15,22,9,fibonacci,153.772103895,binomial,153.772103895,0,1
D,16,22,0,binomial,616.290736743,fibonacci,616.290736743,0,1
D,16,22,1,fibonacci,613.493390972,binomial,613.493390972,0,1
D,16,22,2,binomial,615.801616919,fibonacci,615.801616919,0,1
D,16,22,3,fibonacci,615.764880816,binomial,615.764880816,0,1
D,16,22,4,binomial,615.811242832,fibonacci,615.811242832,0,1
D,16,22,5,fibonacci,614.562779115,binomial,614.562779115,0,1
D,16,22,6,binomial,613.394288443,fibonacci,613.394288443,0,1
D,16,22,7,fibonacci,612.344749944,binomial,612.344749944,0,1
D,16,22,8,binomial,614.503978857,fibonacci,614.503978857,0,1
D,16,22,9,fibonacci,611.845090111,binomial,611.845090111,0,1
D,17,22,0,binomial,2469.14788523,fibonacci,2469.14788523,0,1
D,17,22,1,fibonacci,2462.18074909,binomial,2462.18074909,0,1
D,17,22,2,binomial,2471.19617992,fibonacci,2471.19617992,0,1
D,17,22,3,fibonacci,2471.19251754,binomial,2471.19251754,0,1
D,17,22,4,binomial,2457.1281123,fibonacci,2457.1281123,0,1
D,17,22,5,fibonacci,2478.84345422,binomial,2478.84345422,0,1
D,17,22,6,binomial,2457.74789312,fibonacci,2457.74789312,0,1
D,17,22,7,fibonacci,2471.50355542,binomial,2471.50355542,0,1
